DISTRICTS,SOIL_TYPE,COMMODITIES,SEASONS,WATER_REQ,Min_Temp,Max_Temp,Ideal_Hum,N,P,K
Bagalkot,Black Soil,Orange,Annual,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Papaya,Annual,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Papaya(Raw),Annual,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Pomegranate,Annual,MODERATE,20,35,45,70,40,60
Bagalkot,Black Soil,Pumpkin,Mosoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Pumpkin,Summer,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Red Gram,Monsoon,LOW,20,30,60,80,45,50
Bagalkot,Black Soil,Ridgegourd(Tori),Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Ridgegourd(Tori),Summer,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Round gourd,Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Season Leaves,Annual,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,"Sesamum(Sesame,Gingelly,Til)",Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,"Sesamum(Sesame,Gingelly,Til)",Post-Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Snakegourd,Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Snakegourd,Post-Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Soanf,Post-Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Soyabean,Monsoon,MODERATE,20,32,65,40,60,50
Bagalkot,Black Soil,Sponge gourd,Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Sponge gourd,Summer,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Sugarcane,Annual,HIGH,20,35,80,150,70,120
Bagalkot,Black Soil,Surat Beans(Papadi),Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Surat Beans(Papadi),Winter,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Sweet Pumpkin,Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Sweet Pumpkin,Summer,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Tamarind Fruit,Annual,LOW,20,30,60,80,45,50
Bagalkot,Black Soil,Tender Coconut,Annual,HIGH,20,30,60,80,45,50
Bagalkot,Black Soil,Thondekai,Monsoon,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Thondekai,Summer,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Tomatao,Monsoon,MODERATE,18,30,65,100,60,60
Bagalkot,Black Soil,Tomatao,Summer,MODERATE,18,30,65,100,60,60
Bagalkot,Black Soil,Tomatao,Winter',MODERATE,18,30,65,100,60,60
Bagalkot,Black Soil,Water Melon,Summer,MODERATE,20,30,60,80,45,50
Bagalkot,Black Soil,Wheat,Post-Monsoon,MODERATE,10,26,55,100,50,40
Ballari (Bellary),Black Soil,Bajra(Pearl Millet/Cumbu),Monsoon,LOW,25,38,45,50,30,30
Ballari (Bellary),Black Soil,Bajra(Pearl Millet/Cumbu),Post-Monsoon,LOW,25,38,45,50,30,30
Ballari (Bellary),Black Soil,Bajra(Pearl Millet/Cumbu),Summer,LOW,25,38,45,50,30,30
Ballari (Bellary),Black Soil,Banana,Annual,HIGH,15,35,80,110,80,200
Ballari (Bellary),Black Soil,Bhindi(Ladies Finger),Monsoon,MODERATE,22,35,65,60,40,40
Ballari (Bellary),Black Soil,Bhindi(Ladies Finger),Summer,MODERATE,22,35,65,60,40,40
Ballari (Bellary),Black Soil,Bitter gourd,Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Bitter gourd,Summer,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Bottle gourd,Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Bottle gourd,Summer,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Brinjal,Monsoon,MODERATE,20,32,65,80,50,50
Ballari (Bellary),Black Soil,Brinjal,Summer,MODERATE,20,32,65,80,50,50
Ballari (Bellary),Black Soil,Brinjal,Winter,MODERATE,20,32,65,80,50,50
Ballari (Bellary),Black Soil,Capsicum,Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Capsicum,Post-Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Cucumber(Kheera),Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Cucumber(Kheera),Summer,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Green Avare(W),Post-Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Green Chilli,Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Green Chilli,Summer,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Groundnut,Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Guava,Annual,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Jowar(Sorghum),Monsoon,LOW,24,34,50,60,30,30
Ballari (Bellary),Black Soil,Jowar(Sorghum),Post-Monsoon,LOW,24,34,50,60,30,30
Ballari (Bellary),Black Soil,Karbuja(Musk Melon),Summer,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Lemon,Annual,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Maize,Monsoon,MODERATE,18,32,65,70,40,45
Ballari (Bellary),Black Soil,Mango,Summer,MODERATE,24,34,55,80,45,90
Ballari (Bellary),Black Soil,Mango(Raw-Ripe),Summer,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Millets,Monsoon,LOW,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Mustard,Post-Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Onion,Monsoon,MODERATE,15,27,55,100,50,50
Ballari (Bellary),Black Soil,Onion,Post-Monsoon,MODERATE,15,27,55,100,50,50
Ballari (Bellary),Black Soil,Onion Green,Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Onion Green,Post-Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Orange,Annual,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Papaya,Annual,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Papaya(Raw),Annual,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Pomegranate,Annual,MODERATE,20,35,45,70,40,60
Ballari (Bellary),Black Soil,Pumpkin,Mosoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Pumpkin,Summer,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Red Gram,Monsoon,LOW,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Ridgegourd(Tori),Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Ridgegourd(Tori),Summer,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Round gourd,Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Season Leaves,Annual,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,"Sesamum(Sesame,Gingelly,Til)",Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,"Sesamum(Sesame,Gingelly,Til)",Post-Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Snakegourd,Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Snakegourd,Post-Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Soanf,Post-Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Soyabean,Monsoon,MODERATE,20,32,65,40,60,50
Ballari (Bellary),Black Soil,Sponge gourd,Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Sponge gourd,Summer,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Sugarcane,Annual,HIGH,20,35,80,150,70,120
Ballari (Bellary),Black Soil,Surat Beans(Papadi),Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Surat Beans(Papadi),Winter,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Sweet Pumpkin,Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Sweet Pumpkin,Summer,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Tamarind Fruit,Annual,LOW,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Tender Coconut,Annual,HIGH,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Thondekai,Monsoon,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Thondekai,Summer,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Tomatao,Monsoon,MODERATE,18,30,65,100,60,60
Ballari (Bellary),Black Soil,Tomatao,Summer,MODERATE,18,30,65,100,60,60
Ballari (Bellary),Black Soil,Tomatao,Winter',MODERATE,18,30,65,100,60,60
Ballari (Bellary),Black Soil,Water Melon,Summer,MODERATE,20,30,60,80,45,50
Ballari (Bellary),Black Soil,Wheat,Post-Monsoon,MODERATE,10,26,55,100,50,40
Belagavi (Belgaum),Black Soil,Bajra(Pearl Millet/Cumbu),Monsoon,LOW,25,38,45,50,30,30
Belagavi (Belgaum),Black Soil,Bajra(Pearl Millet/Cumbu),Post-Monsoon,LOW,25,38,45,50,30,30
Belagavi (Belgaum),Black Soil,Bajra(Pearl Millet/Cumbu),Summer,LOW,25,38,45,50,30,30
Belagavi (Belgaum),Black Soil,Banana,Annual,HIGH,15,35,80,110,80,200
Belagavi (Belgaum),Black Soil,Bhindi(Ladies Finger),Monsoon,MODERATE,22,35,65,60,40,40
Belagavi (Belgaum),Black Soil,Bhindi(Ladies Finger),Summer,MODERATE,22,35,65,60,40,40
Belagavi (Belgaum),Black Soil,Bitter gourd,Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Bitter gourd,Summer,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Bottle gourd,Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Bottle gourd,Summer,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Brinjal,Monsoon,MODERATE,20,32,65,80,50,50
Belagavi (Belgaum),Black Soil,Brinjal,Summer,MODERATE,20,32,65,80,50,50
Belagavi (Belgaum),Black Soil,Brinjal,Winter,MODERATE,20,32,65,80,50,50
Belagavi (Belgaum),Black Soil,Capsicum,Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Capsicum,Post-Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Cucumber(Kheera),Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Cucumber(Kheera),Summer,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Green Avare(W),Post-Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Green Chilli,Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Green Chilli,Summer,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Groundnut,Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Guava,Annual,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Jowar(Sorghum),Monsoon,LOW,24,34,50,60,30,30
Belagavi (Belgaum),Black Soil,Jowar(Sorghum),Post-Monsoon,LOW,24,34,50,60,30,30
Belagavi (Belgaum),Black Soil,Karbuja(Musk Melon),Summer,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Lemon,Annual,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Maize,Monsoon,MODERATE,18,32,65,70,40,45
Belagavi (Belgaum),Black Soil,Mango,Summer,MODERATE,24,34,55,80,45,90
Belagavi (Belgaum),Black Soil,Mango(Raw-Ripe),Summer,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Millets,Monsoon,LOW,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Mustard,Post-Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Onion,Monsoon,MODERATE,15,27,55,100,50,50
Belagavi (Belgaum),Black Soil,Onion,Post-Monsoon,MODERATE,15,27,55,100,50,50
Belagavi (Belgaum),Black Soil,Onion Green,Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Onion Green,Post-Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Orange,Annual,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Papaya,Annual,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Papaya(Raw),Annual,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Pomegranate,Annual,MODERATE,20,35,45,70,40,60
Belagavi (Belgaum),Black Soil,Pumpkin,Mosoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Pumpkin,Summer,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Red Gram,Monsoon,LOW,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Ridgegourd(Tori),Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Ridgegourd(Tori),Summer,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Round gourd,Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Season Leaves,Annual,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,"Sesamum(Sesame,Gingelly,Til)",Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,"Sesamum(Sesame,Gingelly,Til)",Post-Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Snakegourd,Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Snakegourd,Post-Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Soanf,Post-Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Soyabean,Monsoon,MODERATE,20,32,65,40,60,50
Belagavi (Belgaum),Black Soil,Sponge gourd,Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Sponge gourd,Summer,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Sugarcane,Annual,HIGH,20,35,80,150,70,120
Belagavi (Belgaum),Black Soil,Surat Beans(Papadi),Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Surat Beans(Papadi),Winter,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Sweet Pumpkin,Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Sweet Pumpkin,Summer,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Tamarind Fruit,Annual,LOW,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Tender Coconut,Annual,HIGH,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Thondekai,Monsoon,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Thondekai,Summer,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Tomatao,Monsoon,MODERATE,18,30,65,100,60,60
Belagavi (Belgaum),Black Soil,Tomatao,Summer,MODERATE,18,30,65,100,60,60
Belagavi (Belgaum),Black Soil,Tomatao,Winter',MODERATE,18,30,65,100,60,60
Belagavi (Belgaum),Black Soil,Water Melon,Summer,MODERATE,20,30,60,80,45,50
Belagavi (Belgaum),Black Soil,Wheat,Post-Monsoon,MODERATE,10,26,55,100,50,40
Bengaluru Rural,Red Soil,Bajra(Pearl Millet/Cumbu),Monsoon,LOW,25,38,45,50,30,30
Bengaluru Rural,Red Soil,Bajra(Pearl Millet/Cumbu),Post-Monsoon,LOW,25,38,45,50,30,30
Bengaluru Rural,Red Soil,Bajra(Pearl Millet/Cumbu),Summer,LOW,25,38,45,50,30,30
Bengaluru Rural,Red Soil,Banana,Annual,HIGH,15,35,80,110,80,200
Bengaluru Rural,Red Soil,Brinjal,Monsoon,MODERATE,20,32,65,80,50,50
Bengaluru Rural,Red Soil,Brinjal,Summer,MODERATE,20,32,65,80,50,50
Bengaluru Rural,Red Soil,Brinjal,Winter,MODERATE,20,32,65,80,50,50
Bengaluru Rural,Red Soil,Cabbage,Winter,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Carrot,Post-Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Cauliflower,Winter,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Coconut,Annual,HIGH,20,32,80,100,60,150
Bengaluru Rural,Red Soil,Ginger(Green),Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Green Avare(W),Post-Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Green Chilli,Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Green Chilli,Summer,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Green Peas,Post-Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Groundnut,Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Guava,Annual,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Lemon,Annual,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Maize,Monsoon,MODERATE,18,32,65,70,40,45
Bengaluru Rural,Red Soil,Mango,Summer,MODERATE,24,34,55,80,45,90
Bengaluru Rural,Red Soil,Mango(Raw-Ripe),Summer,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Marigold(Calcutta),Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Marigold(Calcutta),Post-Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Marigold(loose),Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Marigold(loose),Post-Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Millets,Monsoon,LOW,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Onion,Monsoon,MODERATE,15,27,55,100,50,50
Bengaluru Rural,Red Soil,Onion,Post-Monsoon,MODERATE,15,27,55,100,50,50
Bengaluru Rural,Red Soil,Onion Green,Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Onion Green,Post-Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Orange,Annual,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Papaya,Annual,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Papaya(Raw),Annual,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Pineapple,Annual,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Potato,Monsoon,MODERATE,15,25,75,120,60,110
Bengaluru Rural,Red Soil,Potato,Post-Monsoon,MODERATE,15,25,75,120,60,110
Bengaluru Rural,Red Soil,Raddish,Post-Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Red Gram,Monsoon,LOW,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Rose(Local),Annual,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Rubber,Annual,HIGH,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Season Leaves,Annual,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Seemebadnekai,Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Seemebadnekai,Summer,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,"Sesamum(Sesame,Gingelly,Til)",Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,"Sesamum(Sesame,Gingelly,Til)",Post-Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Spinach,Annual,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Surat Beans(Papadi),Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Surat Beans(Papadi),Winter,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Sweet Potato,Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Sweet Potato,Summer,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Sweet Potato,Winter,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Tamarind Fruit,Annual,LOW,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Thondekai,Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Thondekai,Summer,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Turmeric,Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Rural,Red Soil,Tomatao,Monsoon,MODERATE,18,30,65,100,60,60
Bengaluru Rural,Red Soil,Tomatao,Summer,MODERATE,18,30,65,100,60,60
Bengaluru Rural,Red Soil,Tomatao,Winter',MODERATE,18,30,65,100,60,60
Bengaluru Rural,Red Soil,White Peas,Post-Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Bajra(Pearl Millet/Cumbu),Monsoon,LOW,25,38,45,50,30,30
Bengaluru Urban,Red Soil,Bajra(Pearl Millet/Cumbu),Post-Monsoon,LOW,25,38,45,50,30,30
Bengaluru Urban,Red Soil,Bajra(Pearl Millet/Cumbu),Summer,LOW,25,38,45,50,30,30
Bengaluru Urban,Red Soil,Banana,Annual,HIGH,15,35,80,110,80,200
Bengaluru Urban,Red Soil,Brinjal,Monsoon,MODERATE,20,32,65,80,50,50
Bengaluru Urban,Red Soil,Brinjal,Summer,MODERATE,20,32,65,80,50,50
Bengaluru Urban,Red Soil,Brinjal,Winter,MODERATE,20,32,65,80,50,50
Bengaluru Urban,Red Soil,Cabbage,Winter,MODERATE,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Carrot,Post-Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Cauliflower,Winter,MODERATE,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Coconut,Annual,HIGH,20,32,80,100,60,150
Bengaluru Urban,Red Soil,Ginger(Green),Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Green Avare(W),Post-Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Green Chilli,Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Green Chilli,Summer,MODERATE,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Green Peas,Post-Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Groundnut,Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Guava,Annual,MODERATE,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Lemon,Annual,MODERATE,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Maize,Monsoon,MODERATE,18,32,65,70,40,45
Bengaluru Urban,Red Soil,Mango,Summer,MODERATE,24,34,55,80,45,90
Bengaluru Urban,Red Soil,Mango(Raw-Ripe),Summer,MODERATE,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Marigold(Calcutta),Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Marigold(Calcutta),Post-Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Marigold(loose),Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Marigold(loose),Post-Monsoon,MODERATE,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Millets,Monsoon,LOW,20,30,60,80,45,50
Bengaluru Urban,Red Soil,Onion,Monsoon,MODERATE,15,27,55,100,50,50
